maincate,subcate,title,ranking,oprice,sprice,Fed
여행,ALL,[키자니아](카드10%할인) 직업체험 NO.1 키자니아 서울/부산 이용권(7/1~8/31) / 키자니아/서울/부산/직업체험,2,42000,25200,유료배송
여행,ALL,|호텔위크|최대10만원할인| 롯데호텔제주+특전 (제주도여행/제주여행/제주호텔/롯데호텔),3,350000,229000,유료배송
여행,ALL,(공식판매처) 에버랜드 종일/오후/나이트권(~8/31),4,46000,22900,무료배송
여행,ALL,|호텔위크|최대10만원할인|파라다이스호텔부산(부산여행/부산호텔/해운대호텔/수영장호텔),5,500000,249000,유료배송
여행,ALL,(공식판매처) 에버랜드 종일권 얼리버드 특가 (방문일 지정)(~9/30),6,56000,30000,무료배송
여행,ALL,ㅣ카드10%할인ㅣ제주 아쿠아플라넷 종합권특가/제주아쿠아리움7/31까지사용가능,7,23000,23000,무료배송
여행,ALL,|경북나드리/최대50%할인|포항(라한호텔숙박+기념관+크루즈+카페)/얼리버드,8,128000,76800,유료배송
여행,ALL,[기프티엘] 롯데지알에스 10만원 통합이용권,9,80000,80000,무료배송
여행,ALL,(공식판매처)천안 오션어드벤처 썸머/핫썸머 입장권,10,59000,19500,무료배송
ALL,ALL,[네스카페]콜드브루 60T/커피/커피믹스 +증정,35,19900,15900,무료배송
ALL,ALL,키즈웰 천연과즙 얼려먹는 젤리스트로우 800gx2/젤리,36,34800,13900,무료배송
ALL,ALL,[KFC](KFC) 징거치킨2인팩,37,20200,11500,유료배송
ALL,ALL,[올젠](신세계강남점)올젠 SS 카라티셔츠/팬츠 10종 택1[ZPA2TT1502/ZOZ2PP1301/ZOZ2PP1308],38,30000,21840,무료배송
ALL,ALL,[켈로그]콘푸로스트2+아몬드푸레이크2(총4박스)+디스펜 민트,39,26000,22900,스마일배송
ALL,ALL,12%쿠폰 데이뮤즈 원피스/린넨/자켓/블라우스/바지/롱,40,33000,9900,무료배송
ALL,ALL,롤프의 지도책 시리즈 전8권(재정가 세트),41,69000,62300,무료배송
ALL,ALL,여름신상 셔츠/여름셔츠/체크남방/헨리넥/여름코디,42,23000,6900,무료배송
스포츠/자동차,ALL,[베스트웨이]물놀이 베스트웨이 튜브 풀장 물놀이용품전,1,65800,32900,무료배송
가구/침구,ALL,[리브맘]2020년 시원한 여름 침대 쿨매트 특대형/중형 쿨방석,1,49000,14900,무료배송
컴퓨터/전자,ALL,[삼성전자]인증점 삼성 무선 핸디 진공 청소기 VC-H22 무료배송,1,40650,32000,무료배송
생활/주방/건강,ALL,굿매너 KF94 황사 마스크 대형 국산 개별 포장 30매,1,34900,34900,무료배송
식품,ALL,[놀부부대찌개]놀부 욕심담은 부대찌개 4팩 + 라면사리 2개 세트,1,34200,23900,무료배송
유아동/출산,ALL,[릴리유]웰컴딜 릴리유 퓨어퍼플 물티슈 캡72매X10팩,1,19900,19900,스마일배송
화장품/헤어,ALL,[라네즈]네오 쿠션 매트 15G/24시간모공커버/쿠션팩트/컨실러급,1,25000,25000,무료배송
신발/잡화,ALL,[투투삭스]여름신상 양말 균일가 패션양말/스니커즈/골지/학생,1,23000,6900,무료배송
e쿠폰/티켓,ALL,[에쓰오일](S-OIL) 모바일 주유권 5만원권,6,50000,48500,유료배송
e쿠폰/티켓,ALL,[빕스](빕스) 15000원 할인권,7,1500,1500,유료배송
e쿠폰/티켓,ALL,[구글플레이](카드가능) 기프트코드 10만원 / 구글 기프트카드,8,100000,97000,유료배송
e쿠폰/티켓,ALL,[이디야커피](이디야커피) 1만원권,9,10000,9000,유료배송
e쿠폰/티켓,ALL,[에그머니](카드가능)(에그머니) 온라인 게임상품권 5만원,10,50000,45000,유료배송
e쿠폰/티켓,ALL,[컬쳐랜드문화상품권]핀번호/카드/컬쳐랜드상품권/도서문화/해피머니5만원,11,46870,46870,무료배송
e쿠폰/티켓,ALL,[에쓰오일](S-OIL) 모바일주유권 5만원/ 실시간발송/ 주유상품권,12,50000,48500,유료배송
e쿠폰/티켓,ALL,[KFC](KFC) 핫치즈오리지널세트,13,9800,5800,유료배송
e쿠폰/티켓,ALL,[구글플레이](카드가능) 기프트코드 5만원 / 구글 기프트카드,14,50000,48500,유료배송
e쿠폰/티켓,ALL,[GS수퍼마켓](GS수퍼마켓)금액상품권3만원,15,30000,28350,유료배송
도서/음반,ALL,씨투엠 수학 교구상자 폴리탄/트랜스넘버 선택구매(워크북포함)(NEW),13,65000,34500,무료배송
도서/음반,ALL,롤프의 지도책 시리즈 전8권(재정가 세트),14,69000,62300,무료배송
도서/음반,ALL,와이즈만BOOKS 즐깨감 과학탐구 1~4권 세트/와이즈만 사전 세트 선택구매,15,55000,53300,무료배송
도서/음반,ALL,[동아출판]동아 전과 / 백점 국과사/ 백점 전과목 세트 2학기 선택구매 (1-2. 2-2. 3-2. 4-2. 5-2. 6-2),16,41000,38130,무료배송
도서/음반,ALL,[사파리]사파리 엽기 과학자 프래니 12권 세트 (8권+게임북4권)(개정판),17,120000,111420,무료배송
도서/음반,ALL,방구석 북콘서트 2탄 + 푸름아빠 거울육아 특별패키지,18,15120,15120,무료배송
도서/음반,ALL,[비상교육]비상교육 초등 완자/초등 한오개 2학기 세트 선택구매,19,55000,28500,무료배송
여행,ALL,(공식판매처)캐리비안베이 골드 종일/오후권+에버랜드 자유 이용 무료(~7/31),11,63000,24900,무료배송
여행,ALL,(카드10%)코엑스아쿠아리움 7월~ (코엑스 아쿠아리움/아쿠아리움/코엑스/삼성),12,24000,19900,유료배송
여행,ALL,|호텔위크|랜딩관 제주신화월드 호텔앤리조트(제주 호텔/서귀포/서귀포시/중문/표선/성산),13,95810,95810,유료배송
여행,ALL,[대명리조트](문자전송)강원 홍천 소노벨 비발디파크 객실+부대시설 5종 이용권 2인+오션월드 2인+조식 2인,14,100000,98900,유료배송
여행,ALL,|호텔위크|롯데리조트 속초 (강원 호텔/속초/강릉/양양/고성),15,168300,168300,유료배송
여행,ALL,|호텔위크|쏠비치 삼척 호텔&리조트 (강원 호텔/삼척/양양/동해/고성),16,150000,150000,유료배송
여행,ALL,|경북나드리/최대50%할인|울진(프렌치페이퍼숙박+아쿠아리움+체험관)/얼리버드/당일사용,17,107000,64200,유료배송
여행,ALL,(10%카드할인)(당일사용불가/문자발송) 스플라스 리솜 입장권(~7/24)/리솜스파/스플라스/스플라스리솜/덕산,18,33000,15900,무료배송
여행,ALL,[휘닉스](카드할인10%) 휘닉스 블루캐니언 3인/4인 종일권+매쉬백 증정(7/25~8/23),19,223000,100000,무료배송
ALL,ALL,티메이 여름신상 트레이닝세트 운동복세트 상하세트,43,35900,10900,무료배송
ALL,ALL,[유한킴벌리]크리넥스 펭수뽑아쓰는키친타월 140매X4입X2팩,44,23600,14900,스마일배송
ALL,ALL,[폰타나]베이컨머쉬룸 크림파스타소스 430g 2입+스파게티 500g,45,13900,13900,스마일배송
ALL,ALL,[루카스나인]커피믹스/루카스나인/라떼 더블샷100T+믹스10T,46,30800,24900,무료배송
ALL,ALL,(12%추가할인+무배) 여름티셔츠/원피스/빅사이즈,47,29600,8900,무료배송
ALL,ALL,[버블윅]그린뚜러펑 배수구세정제/펑크린/싱크대/변기 2Lx6개,48,27000,8900,무료배송
ALL,ALL,(Only Shinsegae) 슬림라이너 by신영와코루 모션브라 4세트 ,49,79000,73500,무료배송
ALL,ALL,시크루즈/12%추가/원피스/바캉스룩/SET상품/빅사이즈,50,43000,12900,무료배송
스포츠/자동차,ALL,[케이스위스]케이스위스/르까프 트레이닝 세트/티셔츠/쇼츠,2,33000,11300,무료배송
스포츠/자동차,ALL,[안다르]20%+10% 안다르 시즌오프 Vol.1,3,39000,23900,무료배송
스포츠/자동차,ALL,[안다르]20%+10% 여름안다르_바캉스특가,4,29000,22900,무료배송
스포츠/자동차,ALL,[베스트웨이]베스트웨이 아기욕조/가족풀장/대형물놀이/수영장+20%,5,98600,29600,무료배송
스포츠/자동차,ALL,에르젠 설거지가방,6,25000,23000,무료배송
스포츠/자동차,ALL,[스케쳐스][스케쳐스] 고워크5 12종택1 SP0MW19Y121(행사),7,74000,66600,무료배송
가구/침구,ALL,1+1 국내산 지퍼형 항균 경추 베개솜,2,18900,5900,무료배송
가구/침구,ALL,[에이블루]커블체어 와이더 20년형 자세교정의자 출시,3,59800,53820,무료배송
가구/침구,ALL,[쁘리엘르]3~4인 쇼파패드 시어서커 인견 순면 사계절,4,49500,14900,무료배송
가구/침구,ALL,국산 순면 두툼한 누빔 매트리스커버/침대/매트/커버,5,25900,7900,무료배송
가구/침구,ALL,국산 630g 르미에 라지자캔들 아로마향초 캔들워머,6,24000,7900,유료배송
가구/침구,ALL,[르헤브]시원한 여름 메밀베개/상쾌한 편백베개/아동베개,7,19600,5900,무료배송
가구/침구,ALL,[이모레돌런트]이모레돌런트 디퓨저 본품 100ml 1+1+1+1,8,12900,12900,무료배송
가구/침구,ALL,[쁘리엘르]시원한 여름이불세트/이불베개세트,9,49600,14900,무료배송
가구/침구,ALL,시원한 시어서커 여름이불 여름홑이불 여름침구,10,29000,8900,무료배송
컴퓨터/전자,ALL,펭수 피규어 스틱형 보조배터리 5000mAh 기본형,2,29900,29900,유료배송
컴퓨터/전자,ALL,펭수 빙하 크래들 선풍기,3,38900,38900,무료배송
컴퓨터/전자,ALL,부토 전기찜기 계란찜기 간편세척 NBE622W 다용도찜기,4,19900,19710,스마일배송
컴퓨터/전자,ALL,베르디 리모콘 써큘레이터,5,32900,32900,무료배송
컴퓨터/전자,ALL,[삼성전자]혜택가 7.8만! 삼성 전자레인지 MS23K3513AW 23L,6,93950,85500,무료배송
컴퓨터/전자,ALL,그립 톡스마트 케이스 갤럭시S20 노트10 아이폰11 pro,7,12900,9780,무료배송
컴퓨터/전자,ALL,[대우]대우 구강세척기 스탠드 DET-FC166 맥동수압 치아세척,8,36900,36540,스마일배송
컴퓨터/전자,ALL,[윈드피아]가정용 업소용 사무실 스탠드 키높이 선풍기 WA-170,9,23900,23900,스마일배송
컴퓨터/전자,ALL,[대웅모닝컴]대웅 3D 입체회전 리모컨 스탠드 써큘레이터 선풍기,10,39900,39900,스마일배송
컴퓨터/전자,ALL,[아이디어패드]레노버 Slim3-14ARE R5 DOS 블루 예판 (8/12 순차발송),11,536550,499000,무료배송
컴퓨터/전자,ALL,[갤럭시]노트10 노트8 노트9 S10 S9 S8 플러스 핸드폰 케이스,12,20000,6900,무료배송
생활/주방/건강,ALL,[한글과컴퓨터]한컴 KF80 마스크 (30매/대형) (1set/5매입) X 6묶음,2,28500,28500,무료배송
생활/주방/건강,ALL,[하비비]청개구리 자동 싱크대 클리너 세정제 3개,3,20900,20900,무료배송
생활/주방/건강,ALL,[릴리유]웰컴딜 릴리유 퓨어퍼플 물티슈 캡72매X10팩,4,19900,19900,스마일배송
생활/주방/건강,ALL,국내산 비말차단마스크 흰색(대형) KF-AD 30매,5,29900,28900,무료배송
생활/주방/건강,ALL,[프로월드컵]3중필터마스크/100매입 대형소형 국내생산포함,6,37800,18900,무료배송
생활/주방/건강,ALL,KC인증 MB필터 국산 4중 어린이 일회용 마스크 50매,7,25000,23250,무료배송
생활/주방/건강,ALL,NEW땡큐 화장지 (30롤 x 2팩) / 3겹 두루마리 휴지,8,30000,9500,무료배송
생활/주방/건강,ALL,[베베숲]아기물티슈 프리미어 캡70매 20팩,9,36900,36900,무료배송
생활/주방/건강,ALL,[겔업]겔업 고농축 액체세제 2.5L x 4개 세탁세제 총10000ml,10,25000,7900,무료배송
생활/주방/건강,ALL,[릴리유]릴리유 퓨어퍼플 물티슈 캡72매X10팩(1BOX),11,25000,14900,스마일배송
생활/주방/건강,ALL,[피죤]섬유유연제 피죤 3100mlx4개,12,14900,14900,무료배송
식품,ALL,[풀무원][풀무원] 노엣지 꽉찬토핑 피자 골라담기 (4판구성)+(사은품랜덤증정),2,22900,22900,무료배송
식품,ALL,[신세계푸드]밀크앤허니 베이커리 1+1 골라담기 (+추가쿠폰),3,21000,13590,무료배송
식품,ALL,집구빵 갈릭크로와상 200g +200g(총20개입),4,27300,10900,무료배송
식품,ALL,[장석준명란]장석준명장 요리용 미숙명란 1kg /벌크 덕화푸드,5,29800,29800,무료배송
식품,ALL,키즈웰 천연과즙 얼려먹는 젤리스트로우 800gx2/젤리,6,34800,13900,무료배송
식품,ALL,[다향오리]다향오리 훈제슬라이스 200gx10팩,7,24500,24500,무료배송
식품,ALL,[동원에프앤비]동원 라이트스탠다드참치 85g x20캔,8,25000,22500,무료배송
식품,ALL,[오뚜기밥]맛있는 오뚜기밥 210g x 24개입(1박스),9,26900,18500,스마일배송
식품,ALL,옛날과자 센베이 고급종합전병 1kg+1kg,10,22300,8900,무료배송
식품,ALL,[종근당]종근당건강 락토핏 생유산균 골드 5통 (250일분),11,61900,61900,스마일배송
식품,ALL,[GFresh]동해 자연산 반건조 오징어 10미 700-800g / 40% 건조,12,23900,23670,무료배송
식품,ALL,[웅진]빅토리아 탄산수 탄산음료 500ml 350ml캔 2박스,13,22800,17900,무료배송
유아동/출산,ALL,카드할인15% 성인/아동 3중필터 일회용마스크 5900원~,2,19600,5900,무료배송
유아동/출산,ALL,[팬콧키즈]22%쿠폰 아동 주니어 래쉬가드 세트 수영복,3,49600,14900,무료배송
유아동/출산,ALL,[베베숲]아기물티슈 프리미어 캡70매 20팩,4,36900,36900,무료배송
